国家,城市,经纬度坐标
俄罗斯,别尔哥罗德州,"50.5955N,36.5873E"
以色列,埃拉特,"29.5577N,34.9519E"
沙特阿拉伯,利雅得,"24.7136N,46.6753E"
乌克兰,基辅市,"50.4501N,30.5234E"
俄罗斯,萨拉托夫市和恩格斯市,"(51.5336N,46.0342E),(51.4989N,46.1256E)"
美国,华盛顿,"38.9072N,77.0369W"
俄罗斯,莫斯科,"55.7558N,37.6176E"
美国,华盛顿,"38.9072N,77.0369W"
乌克兰,基辅,"50.4501N,30.5234E"
也门,萨那,"15.3694N,44.1910E"
巴勒斯坦,加沙地带北部城镇拜特拉希亚,"31.5514N,34.5069E"
沙特阿拉伯,吉达,"21.5435N,39.1728E"
俄罗斯,莫斯科州,"55.7558N,37.6176E"
俄罗斯,莫斯科,"55.7558N,37.6176E"
俄罗斯,克拉斯诺达尔边疆区,"45.0355N,38.9753E"
乌克兰,敖德萨,"(46.4825N,30.7233E)"
乌克兰,波尔塔瓦,"(49.5883N,34.5514E)"
乌克兰,哈尔科夫,"(49.9935N,36.2304E)"
乌克兰,苏梅州,"(50.9077N,34.7981E)"
乌克兰,第聂伯罗彼得罗夫斯克州,"(48.4647N,35.0462E)"
乌克兰,基洛沃格勒州,"(48.5139N,32.2597E)"
乌克兰,切尔卡瑟州,"(49.4444N,32.0598E)"
乌克兰,基洛沃格勒州,"(48.5139N,32.2597E)"
乌克兰,克里沃伊罗格,"(47.9105N,33.3918E)"
乌克兰,尼科波尔,"(47.5676N,34.3949E)"
乌克兰,切尔卡瑟市,"(49.4444N,32.0598E)"
乌克兰,阿赫特尔卡,"(50.3028N,34.8977E)"
